#separator:tab
#html:false
ID cell type:	Eosinophil
Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  [...]   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP	Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP   R-CHOP is a combination of one monoclonal antibody (rituximab), three chemotherapy agents (cyclophosphamide, doxorubicin, vincristine), and one steroid (prednisone).
Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - [...] Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t([...]:[...]) & [...] + negative for the marker above   Managment: [...]	Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP   R-CHOP is a combination of one monoclonal antibody (rituximab), three chemotherapy agents (cyclophosphamide, doxorubicin, vincristine), and one steroid (prednisone).
[...]:    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP	Diffuse Large B-cell Lymphoma (DLBCL):    Aggressive? YES (progresses rapidly if not treated) Treatable? YES (lasting remissions seen in ~50% of chemotherapy patients)   Presentation -  rapidly enlarging mass at either a single nodal or extranodal site --> symptoms due to mass effect   Markers (other than the classic B cell markers CD10, 19 and 20): 30% - BCL6 Indicative of transformed/progressed grade 3 follicular lymphoma (10-20%) - t(14:18) & BCL2 + negative for the marker above   Managment: R-CHOP   R-CHOP is a combination of one monoclonal antibody (rituximab), three chemotherapy agents (cyclophosphamide, doxorubicin, vincristine), and one steroid (prednisone).
Mantle zone/cell lymphoma:    Aggressive? [...] Treatment - [...] Diagnostic marker - [...], [...], [...], [...], [...] Translocation [...]	Mantle zone/cell lymphoma:    Aggressive? YES (disseminated generalized lymphadenopathy) Treatment - incurable (survival only a few years) Diagnostic marker - cyclin D1, CD5, CD19, 20, PAX5, CD23 Translocation t[11:14]
[...]:    Aggressive? YES (disseminated generalized lymphadenopathy) Treatment - incurable (survival only a few years) Diagnostic marker - cyclin D1, CD5, CD19, 20, PAX5, CD23 Translocation t[11:14]	Mantle zone/cell lymphoma:    Aggressive? YES (disseminated generalized lymphadenopathy) Treatment - incurable (survival only a few years) Diagnostic marker - cyclin D1, CD5, CD19, 20, PAX5, CD23 Translocation t[11:14]
Anaplastic large cell lymphoma:    Neoplastic cells - [...] Major marker (defined by rearrangements of this gene) - [...] Additional gene rearrangement found in 90% of cases - [...]   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.	Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.
Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD[...] Unexpected/unusual negative marker for most cases - CD[...]   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.	Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.
Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - [...] cells, with [...] nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.	Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.
[...]:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.	Anaplastic large cell lymphoma:    Neoplastic cells - T cells Major marker (defined by rearrangements of this gene) - Anaplastic Lymphoma Kinase (ALK) Additional gene rearrangement found in 90% of cases - TCR   Additional positive marker - CD30 Unexpected/unusual negative marker for most cases - CD3 (though the cells of origin are T cells)   Classic cells - hallmark cells, with horse-shoe/embryoid nuclei Anatomy - often cluster around veins and lymphoid sinusoids, mimicking metastatic cancer.
Pathogenesis of Hodgkin's lymphomas:    Associated virus (though not in 100% of cases) - [...]   Activated signalling pathway - [...]   Secretion of cytoines and chemokines by [...] cells --> attract reactive cells to support the growth and survival of tumors cells. Most Abundant Cell type: [...], especially in proximity to RS cells.	Pathogenesis of Hodgkin's lymphomas:    Associated virus (though not in 100% of cases) - EBV   Activated signalling pathway - NF-kB and JAK-STAT   Secretion of cytoines and chemokines by Reed-Sternberg (RS) cells --> attract reactive cells to support the growth and survival of tumors cells. Most Abundant Cell type: CD4+TH2 & CD4+Treg, especially in proximity to RS cells.
